Frontal_PSD,Frontal_HFD,Temporal_PSD,Temporal_HFD,Central_PSD,Central_HFD,Parietal_PSD,Parietal_HFD,Occipital_PSD,Occipital_HFD,Auxiliary_PSD,Auxiliary_HFD
1.0030520728019376e-12,1.4345822154183165,7.442559491260136e-13,1.3855044824317693,1.2233558655037765e-12,1.3528754926157374,1.4606315249696202e-12,1.3028295599428656,1.9301909514362517e-12,1.2647175211452,2.0527903859536585e-10,1.618700524663544
6.993134776721908e-12,1.245390875099709,5.716943801426952e-12,1.3197645620688652,4.123169194168858e-12,1.2525574701008457,5.353339234405194e-12,1.2066567257574279,5.564493615581442e-12,1.1978694966887358,6.573751322612721e-13,1.469785613271786
5.1222078139643134e-12,1.2941248670639833,8.973672741291606e-13,1.4887321416210137,9.073365776421342e-13,1.3972771325484283,6.693270821593217e-13,1.3283662070407727,5.474133886239859e-13,1.333918952830705,4.68177501128685e-13,1.430284856096423
1.1689763466695991e-11,1.235285818087949,6.394092470551992e-12,1.3379013151686765,5.2819418662262866e-12,1.251743971747773,6.940916935517326e-12,1.1976530416510247,7.33939454309908e-12,1.2134213212788894,8.468188608851252e-13,1.4484497240344345
6.277851002842872e-13,1.385943349734003,8.043433313257754e-13,1.4518738424876934,8.290125899724946e-13,1.3402894182429421,9.03674093999e-13,1.300021933740296,1.084074148202323e-12,1.2879944015384768,6.855910392268819e-13,1.4671247670860434
1.7083464844127625e-12,1.6352783170059344,5.316436905885837e-13,1.4260060665866638,1.0060167093883569e-12,1.3904461525875949,1.0385828272784208e-12,1.3400519758269702,1.0010414794516924e-12,1.335700880475954,2.3902911685470953e-10,1.5128957260314202
9.89142295012406e-12,1.2361395426803854,9.79839356140373e-13,1.4598756366565497,1.195366895446638e-12,1.3375469661322577,8.395686211611236e-13,1.3183230184570978,7.043405939380896e-13,1.3460781703010223,2.075875418562503e-13,1.4309800907014731
4.0324720488228065e-12,1.660455765890529,3.8114868841418585e-12,1.6557712121949835,3.244328404998284e-12,1.697997460742992,4.378463455382568e-12,1.6292849142264851,5.183186117712149e-12,1.5223880521363222,8.645785184154503e-13,1.5601950257773112
4.45581950950792e-12,1.958976399782016,5.7176284828299585e-12,1.9105455439406214,4.545133185466947e-12,1.981190283054201,5.7941644329767015e-12,1.9267758844130538,6.95047787598259e-12,1.8836844023012715,3.6076741635492127e-13,1.6476167500261638
3.4539549924061588e-12,1.6974944366783389,3.2645002911125322e-12,1.7201355031899734,3.3239856960765836e-12,1.6936824953531848,3.3002611879250163e-12,1.6667116056811526,3.085869104737896e-12,1.6667361594735777,8.904958118916259e-13,1.677558699072427
7.874489782264212e-12,1.4702683923072921,5.106439263503064e-12,1.3106125035068779,6.108910222934054e-12,1.2816509792083657,7.641999673226755e-12,1.2140555846831753,7.238767345040185e-12,1.2071166827052575,7.834548389994943e-11,1.3231301623589729
3.984765320099154e-12,1.9692890205477707,3.8612533897264595e-12,1.9561758011662107,3.351471295800262e-12,2.0045117196992166,3.861393804574282e-12,1.9872418054822136,4.775713534025307e-12,1.9426225245933466,3.293562984494004e-13,1.6529738000092742
7.289432030499364e-12,1.5957115974639482,3.2553788508581086e-12,1.5362615499255052,3.248254073442645e-12,1.520818372248626,4.118346444019546e-12,1.4848182053384875,3.960122096249509e-12,1.4579524682227571,7.132723408445457e-13,1.5529856351338622
6.141239646624524e-12,1.3111784942402573,2.1506044400484136e-11,1.3305003494485672,3.0169865592030646e-12,1.2887954869838636,5.164242425784314e-12,1.2591056324440184,7.426751606960946e-12,1.2482770645421026,1.9436723966793764e-12,1.438752163695366
7.873440993288161e-12,1.5920863153112357,2.573009197706292e-12,1.4839017966750987,2.9580061059379746e-12,1.4934450213399195,3.4002296847793765e-12,1.4541733508269166,3.125096398682239e-12,1.4330198441850368,7.623618495833594e-13,1.653071888062079
7.191917620825691e-12,1.3338177319766908,1.2573735640628703e-12,1.3536631462494604,1.938558420959924e-12,1.3113738776648407,1.946553496689325e-12,1.2863563620946137,2.3240443671880045e-12,1.360271977715121,1.553350310730908e-12,1.3783777429663728
